2020-09-11,15:59:01
LOCATION	CASES	DEATHS	RECOVERED
Searcy-Arkansas	118	0	NA
Sebastian-Arkansas	3075	39	NA
Sevier-Arkansas	1175	16	NA
Sharp-Arkansas	156	6	NA
Stone-Arkansas	257	5	NA
Union-Arkansas	755	25	NA
Van Buren-Arkansas	148	2	NA
Washington-Arkansas	7822	82	NA
White-Arkansas	577	14	NA
Woodruff-Arkansas	29	0	NA
Yell-Arkansas	1192	25	NA
Alameda-California	19731	303	NA
Alpine-California	2	0	NA
Amador-California	275	16	NA
Butte-California	2561	28	NA
Calaveras-California	286	2	NA
Colusa-California	487	6	NA
Contra Costa-California	14966	188	NA
Del Norte-California	128	1	NA
El Dorado-California	1025	2	NA
Fresno-California	26724	326	NA
Glenn-California	508	3	NA
Humboldt-California	442	4	NA
Imperial-California	11183	302	NA
Inyo-California	173	13	NA
Kern-California	30440	307	NA
Kings-California	6918	76	NA
Lake-California	371	6	NA
Lassen-California	727	0	NA
Los Angeles-California	251024	6128	NA
Madera-California	4079	58	NA
Marin-California	6407	99	NA
Mariposa-California	74	2	NA
Mendocino-California	778	17	NA
Merced-California	8487	126	NA
Modoc-California	20	0	NA
Mono-California	162	2	NA
Monterey-California	8738	62	NA
Napa-California	1533	13	NA
Nevada-California	478	5	NA
Orange-California	51599	1069	NA
Placer-California	3249	38	NA
Plumas-California	42	0	NA
Riverside-California	54868	1094	NA
Sacramento-California	19668	346	NA
San Benito-California	1209	10	NA
San Bernardino-California	50210	796	NA
San Diego-California	41671	725	NA
San Francisco-California	10191	89	NA
San Joaquin-California	18799	383	NA
San Luis Obispo-California	3194	23	NA
San Mateo-California	8966	139	NA
Santa Barbara-California	8579	103	NA
Santa Clara-California	18854	264	NA
Santa Cruz-California	2021	7	NA
Shasta-California	611	12	NA
Sierra-California	6	0	NA
Siskiyou-California	154	0	NA
Solano-California	5810	48	NA
Sonoma-California	6561	105	NA
Stanislaus-California	15749	303	NA
Sutter-California	1542	10	NA
Tehama-California	462	1	NA
Trinity-California	15	0	NA
Tulare-California	15043	246	NA
Tuolumne-California	212	3	NA
Ventura-California	11497	129	NA
Yolo-California	2611	53	NA
Yuba-California	1044	7	NA
Adams-Colorado	8025	209	NA
Alamosa-Colorado	240	9	NA
Arapahoe-Colorado	8575	370	NA
Archuleta-Colorado	48	0	NA
Baca-Colorado	17	0	NA
Bent-Colorado	11	0	NA
Boulder-Colorado	2621	79	NA
Chaffee-Colorado	318	19	NA
Cheyenne-Colorado	9	0	NA
Clear Creek-Colorado	36	1	NA
Conejos-Colorado	31	0	NA
Costilla-Colorado	32	1	NA
Crowley-Colorado	73	1	NA
Custer-Colorado	17	0	NA
Delta-Colorado	172	2	NA
Denver-Colorado	11627	434	NA
Dolores-Colorado	2	0	NA
Douglas-Colorado	2287	60	NA
Eagle-Colorado	1197	9	NA
Elbert-Colorado	134	2	NA
El Paso-Colorado	6317	160	NA
Fremont-Colorado	165	1	NA
Garfield-Colorado	879	4	NA
Gilpin-Colorado	18	0	NA
Grand-Colorado	69	1	NA
Gunnison-Colorado	296	7	NA
Hinsdale-Colorado	3	0	NA
Huerfano-Colorado	10	1	NA
Jackson-Colorado	10	0	NA
Jefferson-Colorado	5019	244	NA
Kiowa-Colorado	0	0	0
Kit Carson-Colorado	76	3	NA
Lake-Colorado	84	0	NA
La Plata-Colorado	246	2	NA
Larimer-Colorado	2120	45	NA
Las Animas-Colorado	20	0	NA
Lincoln-Colorado	8	0	NA
Logan-Colorado	729	5	NA
Mesa-Colorado	477	5	NA
Mineral-Colorado	19	0	NA
Moffat-Colorado	35	1	NA
Montezuma-Colorado	126	5	NA
Montrose-Colorado	352	13	NA
Morgan-Colorado	723	48	NA
Otero-Colorado	83	6	NA
Ouray-Colorado	25	1	NA
Park-Colorado	46	1	NA
Phillips-Colorado	29	0	NA
Pitkin-Colorado	204	2	NA
Prowers-Colorado	89	0	NA
Pueblo-Colorado	960	34	NA
Rio Blanco-Colorado	24	0	NA
Rio Grande-Colorado	94	2	NA
Routt-Colorado	135	8	NA
Saguache-Colorado	111	2	NA
San Juan-Colorado	6	0	NA
San Miguel-Colorado	93	0	NA
Sedgwick-Colorado	12	1	NA
Summit-Colorado	368	4	NA
Teller-Colorado	165	4	NA
Washington-Colorado	54	0	NA
