2020-09-11,15:59:01
LOCATION	CASES	DEATHS	RECOVERED
Buena Vista-Iowa	1881	12	NA
Butler-Iowa	236	2	NA
Calhoun-Iowa	144	2	NA
Carroll-Iowa	521	5	NA
Cass-Iowa	119	2	NA
Cedar-Iowa	190	1	NA
Cerro Gordo-Iowa	923	21	NA
Cherokee-Iowa	154	2	NA
Chickasaw-Iowa	169	0	NA
Clarke-Iowa	249	3	NA
Clay-Iowa	247	3	NA
Clayton-Iowa	209	3	NA
Clinton-Iowa	964	15	NA
Crawford-Iowa	881	3	NA
Dallas-Iowa	2546	38	NA
Davis-Iowa	103	4	NA
Decatur-Iowa	52	0	NA
Delaware-Iowa	273	3	NA
Des Moines-Iowa	671	6	NA
Dickinson-Iowa	447	6	NA
Dubuque-Iowa	2304	37	NA
Emmet-Iowa	234	9	NA
Fayette-Iowa	164	1	NA
Floyd-Iowa	255	3	NA
Franklin-Iowa	317	17	NA
Fremont-Iowa	63	0	NA
Greene-Iowa	69	0	NA
Grundy-Iowa	161	2	NA
Guthrie-Iowa	189	5	NA
Hamilton-Iowa	304	2	NA
Hancock-Iowa	167	2	NA
Hardin-Iowa	256	1	NA
Harrison-Iowa	159	2	NA
Henry-Iowa	453	4	NA
Howard-Iowa	162	4	NA
Humboldt-Iowa	162	2	NA
Ida-Iowa	60	0	NA
Iowa-Iowa	150	1	NA
Jackson-Iowa	254	2	NA
Jasper-Iowa	661	31	NA
Jefferson-Iowa	124	1	NA
Johnson-Iowa	4732	26	NA
Jones-Iowa	208	3	NA
Keokuk-Iowa	79	1	NA
Kossuth-Iowa	154	0	NA
Lee-Iowa	531	6	NA
Linn-Iowa	3400	100	NA
Louisa-Iowa	403	14	NA
Lucas-Iowa	116	6	NA
Lyon-Iowa	179	3	NA
Madison-Iowa	179	2	NA
Mahaska-Iowa	283	18	NA
Marion-Iowa	630	3	NA
Marshall-Iowa	1734	32	NA
Mills-Iowa	145	1	NA
Mitchell-Iowa	154	0	NA
Monona-Iowa	112	1	NA
Monroe-Iowa	127	8	NA
Montgomery-Iowa	83	5	NA
Muscatine-Iowa	1024	52	NA
O Brien-Iowa	240	8	NA
Osceola-Iowa	102	0	NA
Page-Iowa	130	0	NA
Palo Alto-Iowa	136	0	NA
Plymouth-Iowa	893	20	NA
Pocahontas-Iowa	143	2	NA
Polk-Iowa	14396	248	NA
Pottawattamie-Iowa	1755	35	NA
Poweshiek-Iowa	211	8	NA
Ringgold-Iowa	35	2	NA
Sac-Iowa	133	0	NA
Scott-Iowa	2459	25	NA
Shelby-Iowa	230	1	NA
Sioux-Iowa	1045	3	NA
Story-Iowa	3064	16	NA
Tama-Iowa	663	30	NA
Taylor-Iowa	114	1	NA
Union-Iowa	97	3	NA
Van Buren-Iowa	108	1	NA
Wapello-Iowa	1168	56	NA
Warren-Iowa	883	6	NA
Washington-Iowa	380	11	NA
Wayne-Iowa	70	2	NA
Webster-Iowa	1121	13	NA
Winnebago-Iowa	190	10	NA
Winneshiek-Iowa	252	5	NA
Woodbury-Iowa	4418	58	NA
Worth-Iowa	91	0	NA
Wright-Iowa	536	1	NA
Allen-Kansas	34	0	NA
Anderson-Kansas	48	0	NA
Atchison-Kansas	281	1	NA
Barber-Kansas	4	0	NA
Barton-Kansas	329	5	NA
Bourbon-Kansas	112	2	NA
Brown-Kansas	80	3	NA
Butler-Kansas	697	4	NA
Chase-Kansas	81	1	NA
Chautauqua-Kansas	12	0	NA
Cherokee-Kansas	345	2	NA
Cheyenne-Kansas	9	0	NA
Clark-Kansas	49	1	NA
Clay-Kansas	37	2	NA
Cloud-Kansas	61	1	NA
Coffey-Kansas	97	8	NA
Comanche-Kansas	9	0	NA
Cowley-Kansas	283	3	NA
Crawford-Kansas	816	4	NA
Decatur-Kansas	8	0	NA
Dickinson-Kansas	81	1	NA
Doniphan-Kansas	80	0	NA
Douglas-Kansas	1792	9	NA
Edwards-Kansas	30	0	NA
Elk-Kansas	1	0	NA
Ellis-Kansas	659	1	NA
Ellsworth-Kansas	26	0	NA
Finney-Kansas	1930	12	NA
Ford-Kansas	2448	10	NA
Franklin-Kansas	278	3	NA
Geary-Kansas	351	2	NA
Gove-Kansas	18	0	NA
Graham-Kansas	25	1	NA
Grant-Kansas	182	3	NA
Gray-Kansas	99	0	NA
Greeley-Kansas	5	0	NA
Greenwood-Kansas	39	0	NA
Hamilton-Kansas	44	0	NA
Harper-Kansas	118	1	NA
Harvey-Kansas	313	5	NA
Haskell-Kansas	66	0	NA
Hodgeman-Kansas	16	0	NA
Jackson-Kansas	221	1	NA
Jefferson-Kansas	144	0	NA
Jewell-Kansas	14	1	NA
Johnson-Kansas	9154	128	NA
Kearny-Kansas	80	1	NA
Kingman-Kansas	49	0	NA
Kiowa-Kansas	15	0	NA
Labette-Kansas	201	3	NA
Lane-Kansas	8	0	NA
Leavenworth-Kansas	1794	9	NA
Lincoln-Kansas	11	0	NA
Linn-Kansas	59	0	NA
Logan-Kansas	5	0	NA
Lyon-Kansas	959	19	NA
McPherson-Kansas	238	1	NA
Marion-Kansas	84	1	NA
Marshall-Kansas	18	0	NA
Meade-Kansas	78	0	NA
Miami-Kansas	285	0	NA
Mitchell-Kansas	38	0	NA
Montgomery-Kansas	286	5	NA
Morris-Kansas	24	0	NA
Morton-Kansas	12	2	NA
Nemaha-Kansas	63	1	NA
Neosho-Kansas	135	0	NA
Ness-Kansas	44	1	NA
Norton-Kansas	24	0	NA
Osage-Kansas	75	0	NA
Osborne-Kansas	6	0	NA
Ottawa-Kansas	48	0	NA
Pawnee-Kansas	262	0	NA
Phillips-Kansas	62	8	NA
Pottawatomie-Kansas	178	0	NA
Pratt-Kansas	54	0	NA
Rawlins-Kansas	1	0	NA
Reno-Kansas	872	2	NA
Republic-Kansas	39	0	NA
Rice-Kansas	47	1	NA
Riley-Kansas	1322	6	NA
Rooks-Kansas	40	0	NA
Rush-Kansas	35	0	NA
Russell-Kansas	64	0	NA
Saline-Kansas	539	9	NA
Scott-Kansas	108	1	NA
Sedgwick-Kansas	7763	56	NA
Seward-Kansas	1454	5	NA
Shawnee-Kansas	2420	27	NA
Sheridan-Kansas	10	0	NA
Sherman-Kansas	19	0	NA
Smith-Kansas	6	0	NA
Stafford-Kansas	46	1	NA
Stanton-Kansas	46	2	NA
Stevens-Kansas	86	0	NA
Sumner-Kansas	154	3	NA
Thomas-Kansas	71	0	NA
Trego-Kansas	30	1	NA
Wabaunsee-Kansas	64	0	NA
Wallace-Kansas	10	0	NA
Washington-Kansas	14	0	NA
Wichita-Kansas	5	0	NA
Wilson-Kansas	32	0	NA
Woodson-Kansas	12	0	NA
Wyandotte-Kansas	6416	120	NA
Adair-Kentucky	289	19	NA
Allen-Kentucky	265	9	NA
Anderson-Kentucky	127	1	NA
Ballard-Kentucky	46	1	NA
Barren-Kentucky	552	11	NA
Bath-Kentucky	69	1	NA
Bell-Kentucky	440	10	NA
Boone-Kentucky	1387	25	NA
Bourbon-Kentucky	148	1	NA
Boyd-Kentucky	315	4	NA
Boyle-Kentucky	225	0	NA
Bracken-Kentucky	37	0	NA
Breathitt-Kentucky	66	0	NA
Breckinridge-Kentucky	108	2	NA
Bullitt-Kentucky	709	8	NA
Butler-Kentucky	332	16	NA
Caldwell-Kentucky	95	0	NA
Calloway-Kentucky	462	8	NA
Campbell-Kentucky	766	18	NA
Carlisle-Kentucky	64	1	NA
Carroll-Kentucky	194	5	NA
Carter-Kentucky	137	3	NA
Casey-Kentucky	263	16	NA
Christian-Kentucky	1007	14	NA
Clark-Kentucky	276	8	NA
Clay-Kentucky	237	6	NA
Clinton-Kentucky	85	2	NA
Crittenden-Kentucky	94	1	NA
Cumberland-Kentucky	92	0	NA
Daviess-Kentucky	1103	13	NA
Edmonson-Kentucky	138	12	NA
Elliott-Kentucky	32	0	NA
Estill-Kentucky	66	0	NA
Fayette-Kentucky	6833	66	NA
Fleming-Kentucky	75	0	NA
Floyd-Kentucky	159	2	NA
Franklin-Kentucky	536	11	NA
Fulton-Kentucky	129	2	NA
Gallatin-Kentucky	93	8	NA
Garrard-Kentucky	132	3	NA
Grant-Kentucky	148	6	NA
Graves-Kentucky	675	29	NA
Grayson-Kentucky	318	13	NA
Green-Kentucky	233	9	NA
Greenup-Kentucky	290	2	NA
Hancock-Kentucky	66	0	NA
Hardin-Kentucky	1023	10	NA
Harlan-Kentucky	328	10	NA
Harrison-Kentucky	163	0	NA
Hart-Kentucky	172	1	NA
Henderson-Kentucky	555	4	NA
Henry-Kentucky	173	2	NA
Hickman-Kentucky	72	0	NA
Hopkins-Kentucky	552	37	NA
Jackson-Kentucky	308	15	NA
Jefferson-Kentucky	14771	307	NA
Jessamine-Kentucky	516	0	NA
Johnson-Kentucky	130	1	NA
Kenton-Kentucky	1844	44	NA
Knott-Kentucky	97	1	NA
Knox-Kentucky	391	9	NA
Larue-Kentucky	119	1	NA
Laurel-Kentucky	668	5	NA
Lawrence-Kentucky	51	0	NA
Lee-Kentucky	14	0	NA
Leslie-Kentucky	42	0	NA
Letcher-Kentucky	81	2	NA
Lewis-Kentucky	201	14	NA
Lincoln-Kentucky	151	11	NA
Livingston-Kentucky	66	1	NA
Logan-Kentucky	488	26	NA
Lyon-Kentucky	45	4	NA
McCracken-Kentucky	579	6	NA
McCreary-Kentucky	126	0	NA
McLean-Kentucky	66	0	NA
Madison-Kentucky	1316	4	NA
Magoffin-Kentucky	71	0	NA
Marion-Kentucky	200	7	NA
Marshall-Kentucky	225	2	NA
Martin-Kentucky	61	2	NA
Mason-Kentucky	113	2	NA
Meade-Kentucky	165	3	NA
Menifee-Kentucky	39	0	NA
Mercer-Kentucky	150	1	NA
Metcalfe-Kentucky	94	2	NA
Monroe-Kentucky	176	4	NA
Montgomery-Kentucky	214	1	NA
Morgan-Kentucky	51	0	NA
Muhlenberg-Kentucky	708	12	NA
Nelson-Kentucky	435	4	NA
Nicholas-Kentucky	29	1	NA
Ohio-Kentucky	438	9	NA
Oldham-Kentucky	909	24	NA
Owen-Kentucky	86	2	NA
Owsley-Kentucky	37	1	NA
Pendleton-Kentucky	74	0	NA
Perry-Kentucky	298	8	NA
Pike-Kentucky	356	3	NA
Powell-Kentucky	85	0	NA
Pulaski-Kentucky	674	8	NA
Robertson-Kentucky	11	0	NA
Rockcastle-Kentucky	147	1	NA
Rowan-Kentucky	187	1	NA
Russell-Kentucky	225	6	NA
Scott-Kentucky	658	8	NA
Shelby-Kentucky	963	23	NA
Simpson-Kentucky	250	7	NA
Spencer-Kentucky	183	0	NA
Taylor-Kentucky	233	6	NA
Todd-Kentucky	167	6	NA
Trigg-Kentucky	125	0	NA
Trimble-Kentucky	50	0	NA
Union-Kentucky	195	1	NA
Warren-Kentucky	3819	33	NA
Washington-Kentucky	137	1	NA
Wayne-Kentucky	110	0	NA
Webster-Kentucky	132	2	NA
Whitley-Kentucky	229	2	NA
Wolfe-Kentucky	30	0	NA
Woodford-Kentucky	224	0	NA
Acadia-Louisiana	2877	94	NA
Allen-Louisiana	1500	44	NA
Ascension-Louisiana	3512	94	NA
Assumption-Louisiana	699	23	NA
Avoyelles-Louisiana	1399	47	NA
Beauregard-Louisiana	959	34	NA
Bienville-Louisiana	435	32	NA
Bossier-Louisiana	2861	100	NA
Caddo-Louisiana	7762	333	NA
Calcasieu-Louisiana	7580	197	NA
Caldwell-Louisiana	295	3	NA
Cameron-Louisiana	206	1	NA
Catahoula-Louisiana	401	6	NA
Claiborne-Louisiana	456	16	NA
Concordia-Louisiana	487	10	NA
De Soto-Louisiana	840	34	NA
East Baton Rouge-Louisiana	14421	427	NA
East Carroll-Louisiana	535	3	NA
East Feliciana-Louisiana	1475	54	NA
Evangeline-Louisiana	1228	29	NA
Franklin-Louisiana	1135	33	NA
Grant-Louisiana	459	30	NA
Iberia-Louisiana	2827	89	NA
Iberville-Louisiana	1381	57	NA
Jackson-Louisiana	546	21	NA
Jefferson-Louisiana	16920	558	NA
Jefferson Davis-Louisiana	1186	37	NA
Lafayette-Louisiana	8586	116	NA
Lafourche-Louisiana	3400	115	NA
La Salle-Louisiana	409	7	NA
Lincoln-Louisiana	996	43	NA
Livingston-Louisiana	3517	69	NA
Madison-Louisiana	847	8	NA
Morehouse-Louisiana	672	19	NA
Natchitoches-Louisiana	1001	24	NA
Orleans-Louisiana	12063	584	NA
Ouachita-Louisiana	5755	135	NA
Plaquemines-Louisiana	659	19	NA
Pointe Coupee-Louisiana	1003	38	NA
Rapides-Louisiana	3961	136	NA
Red River-Louisiana	338	20	NA
Richland-Louisiana	730	10	NA
Sabine-Louisiana	795	14	NA
St Bernard-Louisiana	1316	28	NA
St Charles-Louisiana	1721	58	NA
St Helena-Louisiana	386	2	NA
St James-Louisiana	782	37	NA
St John the Baptist-Louisiana	1555	97	NA
St Landry-Louisiana	3205	116	NA
St Martin-Louisiana	2034	58	NA
St Mary-Louisiana	1807	74	NA
St Tammany-Louisiana	6521	245	NA
Tangipahoa-Louisiana	4239	107	NA
Tensas-Louisiana	155	1	NA
Terrebonne-Louisiana	3472	104	NA
Union-Louisiana	896	40	NA
Vermilion-Louisiana	1962	50	NA
Vernon-Louisiana	996	43	NA
Washington-Louisiana	1543	60	NA
Webster-Louisiana	1109	20	NA
West Baton Rouge-Louisiana	864	40	NA
West Carroll-Louisiana	332	9	NA
West Feliciana-Louisiana	637	22	NA
Winn-Louisiana	582	17	NA
Androscoggin-Maine	635	10	NA
Aroostook-Maine	40	1	NA
Cumberland-Maine	2231	70	NA
Franklin-Maine	53	1	NA
Hancock-Maine	52	1	NA
Kennebec-Maine	199	11	NA
Knox-Maine	33	1	NA
Lincoln-Maine	36	1	NA
Oxford-Maine	80	0	NA
Penobscot-Maine	251	6	NA
Piscataquis-Maine	8	0	NA
Sagadahoc-Maine	62	0	NA
Somerset-Maine	69	3	NA
Waldo-Maine	73	14	NA
Washington-Maine	15	0	NA
York-Maine	954	15	NA
Allegany-Maryland	411	22	NA
Anne Arundel-Maryland	8997	241	NA
Baltimore-Maryland	16543	609	NA
Calvert-Maryland	848	28	NA
Caroline-Maryland	584	3	NA
Carroll-Maryland	1823	123	NA
Cecil-Maryland	887	31	NA
Charles-Maryland	2538	95	NA
Dorchester-Maryland	509	9	NA
Frederick-Maryland	3691	127	NA
Garrett-Maryland	66	1	NA
Harford-Maryland	2754	74	NA
Howard-Maryland	4710	119	NA
Kent-Maryland	281	24	NA
Montgomery-Maryland	21033	833	NA
Prince Georges-Maryland	27619	807	NA
Queen Annes-Maryland	600	26	NA
St Marys-Maryland	0	0	0
Somerset-Maryland	211	4	NA
Talbot-Maryland	501	4	NA
Washington-Maryland	1453	35	NA
Wicomico-Maryland	1697	48	NA
Worcester-Maryland	918	26	NA
Baltimore City-Maryland	15180	472	NA
Barnstable-Massachusetts	1667	168	NA
Berkshire-Massachusetts	677	46	NA
Bristol-Massachusetts	9448	670	NA
Dukes-Massachusetts	58	0	NA
Essex-Massachusetts	18508	1257	NA
Franklin-Massachusetts	396	66	NA
Hampden-Massachusetts	7817	762	NA
Hampshire-Massachusetts	1193	141	NA
Middlesex-Massachusetts	25931	2094	NA
Nantucket-Massachusetts	53	1	NA
Norfolk-Massachusetts	9745	1029	NA
Plymouth-Massachusetts	9277	748	NA
Suffolk-Massachusetts	22920	1113	NA
Worcester-Massachusetts	13716	1066	NA
Alcona-Michigan	39	2	NA
Alger-Michigan	17	0	NA
Allegan-Michigan	684	7	NA
Alpena-Michigan	132	14	NA
Antrim-Michigan	62	0	NA
Arenac-Michigan	66	3	NA
Baraga-Michigan	10	0	NA
Barry-Michigan	248	2	NA
Bay-Michigan	894	45	NA
Benzie-Michigan	60	2	NA
Berrien-Michigan	1768	72	NA
Branch-Michigan	1341	27	NA
Calhoun-Michigan	1113	44	NA
Cass-Michigan	444	16	NA
Charlevoix-Michigan	86	3	NA
Cheboygan-Michigan	83	2	NA
Chippewa-Michigan	66	0	NA
Clare-Michigan	106	4	NA
Clinton-Michigan	576	13	NA
Crawford-Michigan	116	5	NA
Delta-Michigan	197	3	NA
Dickinson-Michigan	70	2	NA
Eaton-Michigan	557	9	NA
Emmet-Michigan	136	4	NA
Genesee-Michigan	4073	305	NA
Gladwin-Michigan	83	2	NA
Gogebic-Michigan	148	1	NA
Grand Traverse-Michigan	413	7	NA
Gratiot-Michigan	217	15	NA
Hillsdale-Michigan	309	27	NA
Houghton-Michigan	183	1	NA
Huron-Michigan	207	5	NA
Ingham-Michigan	2296	42	NA
Ionia-Michigan	362	7	NA
Iosco-Michigan	159	12	NA
Iron-Michigan	43	1	NA
Isabella-Michigan	591	10	NA
Jackson-Michigan	2644	63	NA
Kalamazoo-Michigan	2190	91	NA
Kalkaska-Michigan	74	4	NA
Kent-Michigan	8900	171	NA
Keweenaw-Michigan	6	0	NA
Lake-Michigan	31	0	NA
Lapeer-Michigan	871	44	NA
Leelanau-Michigan	99	1	NA
Lenawee-Michigan	1441	17	NA
Livingston-Michigan	1269	30	NA
Luce-Michigan	215	0	NA
Mackinac-Michigan	47	0	NA
Macomb-Michigan	13755	1004	NA
Manistee-Michigan	79	2	NA
Marquette-Michigan	278	11	NA
Mason-Michigan	129	0	NA
Mecosta-Michigan	125	2	NA
Menominee-Michigan	264	0	NA
Midland-Michigan	498	12	NA
Missaukee-Michigan	53	1	NA
Monroe-Michigan	1418	29	NA
Montcalm-Michigan	255	4	NA
Montmorency-Michigan	13	0	NA
Muskegon-Michigan	2282	69	NA
Newaygo-Michigan	308	1	NA
Oakland-Michigan	18972	1181	NA
Oceana-Michigan	501	6	NA
Ogemaw-Michigan	60	5	NA
Ontonagon-Michigan	36	0	NA
Osceola-Michigan	81	0	NA
Oscoda-Michigan	30	1	NA
Otsego-Michigan	168	11	NA
Ottawa-Michigan	2754	64	NA
Presque Isle-Michigan	23	1	NA
Roscommon-Michigan	82	4	NA
Saginaw-Michigan	2725	133	NA
St Clair-Michigan	956	53	NA
St Joseph-Michigan	703	11	NA
Sanilac-Michigan	131	7	NA
Schoolcraft-Michigan	17	0	NA
Shiawassee-Michigan	473	30	NA
Tuscola-Michigan	473	29	NA
Van Buren-Michigan	688	16	NA
Washtenaw-Michigan	3603	124	NA
Wayne-Michigan	32877	2941	NA
Wexford-Michigan	118	4	NA
Aitkin-Minnesota	63	1	NA
Anoka-Minnesota	5213	126	NA
Becker-Minnesota	217	2	NA
Beltrami-Minnesota	344	3	NA
Benton-Minnesota	445	3	NA
Big Stone-Minnesota	45	0	NA
Blue Earth-Minnesota	1468	6	NA
Brown-Minnesota	141	2	NA
Carlton-Minnesota	209	1	NA
Carver-Minnesota	1222	7	NA
Cass-Minnesota	112	3	NA
Chippewa-Minnesota	165	1	NA
Chisago-Minnesota	381	1	NA
Clay-Minnesota	1059	40	NA
Clearwater-Minnesota	23	0	NA
Cook-Minnesota	6	0	NA
Cottonwood-Minnesota	208	0	NA
Crow Wing-Minnesota	361	18	NA
Dakota-Minnesota	6655	120	NA
Dodge-Minnesota	175	0	NA
Douglas-Minnesota	194	1	NA
Faribault-Minnesota	123	0	NA
Fillmore-Minnesota	89	0	NA
Freeborn-Minnesota	440	1	NA
Goodhue-Minnesota	286	9	NA
Grant-Minnesota	56	4	NA
Hennepin-Minnesota	24398	901	NA
Houston-Minnesota	92	0	NA
Hubbard-Minnesota	52	0	NA
Isanti-Minnesota	203	0	NA
Itasca-Minnesota	228	13	NA
Jackson-Minnesota	100	1	NA
Kanabec-Minnesota	77	7	NA
Kandiyohi-Minnesota	869	2	NA
Kittson-Minnesota	12	0	NA
Koochiching-Minnesota	96	3	NA
Lac qui Parle-Minnesota	26	0	NA
Lake-Minnesota	44	0	NA
Lake of the Woods-Minnesota	16	1	NA
Le Sueur-Minnesota	422	3	NA
Lincoln-Minnesota	78	0	NA
Lyon-Minnesota	591	3	NA
McLeod-Minnesota	404	1	NA
Mahnomen-Minnesota	39	1	NA
Marshall-Minnesota	46	1	NA
Martin-Minnesota	254	9	NA
Meeker-Minnesota	135	2	NA
Mille Lacs-Minnesota	125	3	NA
Morrison-Minnesota	160	1	NA
Mower-Minnesota	1222	3	NA
Murray-Minnesota	146	2	NA
Nicollet-Minnesota	471	16	NA
Nobles-Minnesota	1903	15	NA
Norman-Minnesota	48	0	NA
Olmsted-Minnesota	2154	26	NA
Otter Tail-Minnesota	325	4	NA
Pennington-Minnesota	102	1	NA
Pine-Minnesota	173	0	NA
Pipestone-Minnesota	201	9	NA
Polk-Minnesota	227	4	NA
Pope-Minnesota	74	0	NA
Ramsey-Minnesota	9899	308	NA
Red Lake-Minnesota	35	0	NA
Redwood-Minnesota	82	0	NA
Renville-Minnesota	103	6	NA
Rice-Minnesota	1247	8	NA
Rock-Minnesota	121	0	NA
Roseau-Minnesota	95	0	NA
St Louis-Minnesota	1090	25	NA
Scott-Minnesota	2238	32	NA
Sherburne-Minnesota	995	13	NA
Sibley-Minnesota	153	3	NA
Stearns-Minnesota	3505	23	NA
Steele-Minnesota	494	2	NA
Stevens-Minnesota	82	1	NA
Swift-Minnesota	78	1	NA
Todd-Minnesota	463	2	NA
Traverse-Minnesota	28	0	NA
Wabasha-Minnesota	143	0	NA
Wadena-Minnesota	57	0	NA
Waseca-Minnesota	362	6	NA
Washington-Minnesota	3335	55	NA
Watonwan-Minnesota	462	4	NA
Wilkin-Minnesota	55	3	NA
Winona-Minnesota	647	17	NA
Wright-Minnesota	1416	6	NA
Yellow Medicine-Minnesota	122	1	NA
Adams-Mississippi	853	32	NA
Alcorn-Mississippi	708	9	NA
Amite-Mississippi	289	10	NA
Attala-Mississippi	613	25	NA
Benton-Mississippi	206	1	NA
Bolivar-Mississippi	1701	58	NA
Calhoun-Mississippi	499	12	NA
Carroll-Mississippi	302	12	NA
Chickasaw-Mississippi	618	24	NA
Choctaw-Mississippi	168	5	NA
Claiborne-Mississippi	446	16	NA
Clarke-Mississippi	502	36	NA
Clay-Mississippi	525	16	NA
Coahoma-Mississippi	1067	23	NA
Copiah-Mississippi	1136	32	NA
Covington-Mississippi	769	18	NA
De Soto-Mississippi	5091	54	NA
Forrest-Mississippi	2269	68	NA
Franklin-Mississippi	181	3	NA
George-Mississippi	720	13	NA
Greene-Mississippi	322	16	NA
Grenada-Mississippi	999	32	NA
Hancock-Mississippi	538	20	NA
Harrison-Mississippi	3586	68	NA
Hinds-Mississippi	6781	149	NA
Holmes-Mississippi	1073	56	NA
Humphreys-Mississippi	358	15	NA
Issaquena-Mississippi	98	3	NA
Itawamba-Mississippi	669	18	NA
Jackson-Mississippi	3270	65	NA
Jasper-Mississippi	519	13	NA
Jefferson-Mississippi	231	9	NA
Jefferson Davis-Mississippi	312	10	NA
Jones-Mississippi	2276	76	NA
Kemper-Mississippi	280	14	NA
Lafayette-Mississippi	1896	39	NA
Lamar-Mississippi	1533	33	NA
Lauderdale-Mississippi	1931	119	NA
Lawrence-Mississippi	420	12	NA
Leake-Mississippi	922	33	NA
Lee-Mississippi	2432	65	NA
Leflore-Mississippi	1310	76	NA
Lincoln-Mississippi	1017	52	NA
Lowndes-Mississippi	1351	56	NA
Madison-Mississippi	3115	84	NA
Marion-Mississippi	819	28	NA
Marshall-Mississippi	1050	14	NA
Monroe-Mississippi	1134	64	NA
Montgomery-Mississippi	435	19	NA
Neshoba-Mississippi	1493	102	NA
Newton-Mississippi	723	20	NA
Noxubee-Mississippi	535	14	NA
Oktibbeha-Mississippi	1658	46	NA
Panola-Mississippi	1358	26	NA
Pearl River-Mississippi	818	49	NA
Perry-Mississippi	370	14	NA
Pike-Mississippi	1183	47	NA
Pontotoc-Mississippi	1150	15	NA
Prentiss-Mississippi	723	15	NA
Quitman-Mississippi	354	5	NA
Rankin-Mississippi	3053	71	NA
Scott-Mississippi	1134	23	NA
Sharkey-Mississippi	257	11	NA
Simpson-Mississippi	993	40	NA
Smith-Mississippi	502	13	NA
Stone-Mississippi	341	11	NA
Sunflower-Mississippi	1337	42	NA
Tallahatchie-Mississippi	699	14	NA
Tate-Mississippi	909	35	NA
Tippah-Mississippi	600	16	NA
Tishomingo-Mississippi	617	33	NA
Tunica-Mississippi	463	13	NA
Union-Mississippi	943	23	NA
Walthall-Mississippi	579	24	NA
Warren-Mississippi	1348	47	NA
Washington-Mississippi	2104	70	NA
Wayne-Mississippi	863	21	NA
Webster-Mississippi	320	13	NA
Wilkinson-Mississippi	288	17	NA
Winston-Mississippi	712	19	NA
Yalobusha-Mississippi	400	13	NA
Yazoo-Mississippi	1008	23	NA
Adair-Missouri	289	0	NA
Andrew-Missouri	156	1	NA
Atchison-Missouri	39	0	NA
Audrain-Missouri	333	2	NA
Barry-Missouri	389	5	NA
Barton-Missouri	124	0	NA
Bates-Missouri	80	1	NA
Benton-Missouri	165	1	NA
Bollinger-Missouri	176	1	NA
Boone-Missouri	3695	7	NA
Buchanan-Missouri	1455	13	NA
Butler-Missouri	442	4	NA
Caldwell-Missouri	51	1	NA
Callaway-Missouri	458	2	NA
Camden-Missouri	647	9	NA
Cape Girardeau-Missouri	1207	13	NA
Carroll-Missouri	121	1	NA
Carter-Missouri	45	1	NA
Cass-Missouri	1281	17	NA
Cedar-Missouri	65	0	NA
Chariton-Missouri	37	0	NA
Christian-Missouri	936	4	NA
Clark-Missouri	51	0	NA
Clay-Missouri	1541	39	NA
Clinton-Missouri	170	0	NA
Cole-Missouri	1088	12	NA
Cooper-Missouri	308	2	NA
Crawford-Missouri	225	2	NA
Dade-Missouri	37	0	NA
Dallas-Missouri	137	1	NA
Daviess-Missouri	52	0	NA
De Kalb-Missouri	85	2	NA
Dent-Missouri	61	0	NA
Douglas-Missouri	128	3	NA
Dunklin-Missouri	600	6	NA
Franklin-Missouri	1223	22	NA
Gasconade-Missouri	126	6	NA
Gentry-Missouri	103	9	NA
Greene-Missouri	4575	43	NA
Grundy-Missouri	100	1	NA
Harrison-Missouri	90	1	NA
Henry-Missouri	139	4	NA
Hickory-Missouri	69	1	NA
Holt-Missouri	72	0	NA
Howard-Missouri	131	2	NA
Howell-Missouri	370	3	NA
Iron-Missouri	41	0	NA
Jackson-Missouri	6232	85	NA
Jasper-Missouri	1894	16	NA
Jefferson-Missouri	3336	52	NA
Johnson-Missouri	768	4	NA
Knox-Missouri	45	0	NA
Laclede-Missouri	353	1	NA
Lafayette-Missouri	285	2	NA
Lawrence-Missouri	419	2	NA
Lewis-Missouri	68	2	NA
Lincoln-Missouri	637	2	NA
Linn-Missouri	49	1	NA
Livingston-Missouri	342	1	NA
McDonald-Missouri	1067	11	NA
Macon-Missouri	91	0	NA
Madison-Missouri	224	0	NA
Maries-Missouri	55	0	NA
Marion-Missouri	574	7	NA
Mercer-Missouri	25	0	NA
Miller-Missouri	329	1	NA
Mississippi-Missouri	255	3	NA
Moniteau-Missouri	214	4	NA
Monroe-Missouri	78	0	NA
Montgomery-Missouri	65	1	NA
Morgan-Missouri	176	1	NA
New Madrid-Missouri	462	10	NA
Newton-Missouri	1169	13	NA
Nodaway-Missouri	552	1	NA
Oregon-Missouri	71	0	NA
Osage-Missouri	99	1	NA
Ozark-Missouri	70	0	NA
Pemiscot-Missouri	399	9	NA
Perry-Missouri	466	4	NA
Pettis-Missouri	867	10	NA
Phelps-Missouri	294	1	NA
Pike-Missouri	171	2	NA
Platte-Missouri	564	11	NA
Polk-Missouri	447	1	NA
Pulaski-Missouri	435	2	NA
Putnam-Missouri	29	1	NA
Ralls-Missouri	128	0	NA
Randolph-Missouri	157	1	NA
Ray-Missouri	136	0	NA
Reynolds-Missouri	26	0	NA
Ripley-Missouri	121	0	NA
St Charles-Missouri	6488	113	NA
St Clair-Missouri	31	0	NA
Ste. Genevieve-Missouri	141	1	NA
St Francois-Missouri	1454	6	NA
St Louis-Missouri	6505	196	NA
Saline-Missouri	595	9	NA
Schuyler-Missouri	20	0	NA
