2020-09-10,15:59:01
LOCATION	CASES	DEATHS	RECOVERED
Yell-Arkansas	1192	25	0
Alameda-California	19710	303	0
Alpine-California	2	0	0
Amador-California	280	16	0
Butte-California	2463	28	0
Calaveras-California	286	2	0
Colusa-California	485	6	0
Contra Costa-California	14885	187	0
Del Norte-California	124	1	0
El Dorado-California	1019	2	0
Fresno-California	26724	326	0
Glenn-California	497	3	0
Humboldt-California	442	4	0
Imperial-California	11183	303	0
Inyo-California	183	14	0
Kern-California	30371	297	0
Kings-California	6894	76	0
Lake-California	372	6	0
Lassen-California	727	0	0
Los Angeles-California	251024	6128	0
Madera-California	4079	58	0
Marin-California	6378	99	0
Mariposa-California	74	2	0
Mendocino-California	778	18	0
Merced-California	8440	125	0
Modoc-California	22	0	0
Mono-California	162	2	0
Monterey-California	8698	62	0
Napa-California	1528	13	0
Nevada-California	476	5	0
Orange-California	50471	1069	0
Placer-California	3249	38	0
Plumas-California	45	0	0
Riverside-California	54868	1094	0
Sacramento-California	19669	346	0
San Benito-California	1209	10	0
San Bernardino-California	50210	796	0
San Diego-California	41608	725	0
San Francisco-California	10120	88	0
San Joaquin-California	18558	383	0
San Luis Obispo-California	3171	22	0
San Mateo-California	8895	136	0
Santa Barbara-California	8550	99	0
Santa Clara-California	18854	263	0
Santa Cruz-California	1993	7	0
Shasta-California	611	12	0
Sierra-California	6	0	0
Siskiyou-California	150	0	0
Solano-California	5805	48	0
Sonoma-California	6561	105	0
Stanislaus-California	15749	303	0
Sutter-California	1530	10	0
Tehama-California	458	1	0
Trinity-California	14	0	0
Tulare-California	14967	246	0
Tuolumne-California	211	3	0
Ventura-California	11475	126	0
Yolo-California	2611	53	0
Yuba-California	1037	8	0
Adams-Colorado	7921	209	0
Alamosa-Colorado	240	9	0
Arapahoe-Colorado	8401	369	0
Archuleta-Colorado	48	0	0
Baca-Colorado	17	0	0
Bent-Colorado	11	0	0
Boulder-Colorado	2571	79	0
Chaffee-Colorado	318	19	0
Cheyenne-Colorado	9	0	0
Clear Creek-Colorado	36	1	0
Conejos-Colorado	31	0	0
Costilla-Colorado	32	1	0
Crowley-Colorado	73	1	0
Custer-Colorado	17	0	0
Delta-Colorado	172	2	0
Denver-Colorado	11627	429	0
Dolores-Colorado	2	0	0
Douglas-Colorado	2173	60	0
Eagle-Colorado	1197	9	0
Elbert-Colorado	134	2	0
El Paso-Colorado	6284	157	0
Fremont-Colorado	165	1	0
Garfield-Colorado	879	4	0
Gilpin-Colorado	18	0	0
Grand-Colorado	69	1	0
Gunnison-Colorado	296	7	0
Hinsdale-Colorado	3	0	0
Huerfano-Colorado	10	1	0
Jackson-Colorado	10	0	0
Jefferson-Colorado	5019	244	0
Kiowa-Colorado	0	0	0
Kit Carson-Colorado	76	3	0
Lake-Colorado	84	0	0
La Plata-Colorado	246	2	0
Larimer-Colorado	2120	45	0
Las Animas-Colorado	20	0	0
Lincoln-Colorado	8	0	0
Logan-Colorado	729	5	0
Mesa-Colorado	477	5	0
Mineral-Colorado	19	0	0
Moffat-Colorado	35	1	0
Montezuma-Colorado	126	5	0
Montrose-Colorado	352	13	0
Morgan-Colorado	723	48	0
Otero-Colorado	83	6	0
Ouray-Colorado	25	1	0
Park-Colorado	46	1	0
Phillips-Colorado	19	0	0
Pitkin-Colorado	204	2	0
Prowers-Colorado	89	0	0
Pueblo-Colorado	960	34	0
Rio Blanco-Colorado	24	0	0
Rio Grande-Colorado	94	2	0
Routt-Colorado	135	8	0
Saguache-Colorado	111	2	0
San Juan-Colorado	6	0	0
San Miguel-Colorado	93	0	0
Sedgwick-Colorado	12	1	0
Summit-Colorado	368	4	0
Teller-Colorado	165	4	0
Washington-Colorado	54	0	0
Weld-Colorado	4245	149	0
Yuma-Colorado	71	0	0
Fairfield-Connecticut	19260	1417	0
Hartford-Connecticut	13853	1430	0
Litchfield-Connecticut	1763	139	0
Middlesex-Connecticut	1505	193	0
New Haven-Connecticut	13917	1110	0
New London-Connecticut	1649	109	0
Tolland-Connecticut	1215	65	0
Windham-Connecticut	828	15	0
Kent-Delaware	2744	111	0
New Castle-Delaware	8805	305	0
Sussex-Delaware	6456	197	0
Washington-District of Columbia	14412	616	0
Alachua-Florida	5898	36	0
Baker-Florida	1286	6	0
Bay-Florida	5583	87	0
Bradford-Florida	881	5	0
Brevard-Florida	7787	245	0
Broward-Florida	73869	1258	0
Calhoun-Florida	588	9	0
Charlotte-Florida	2827	119	0
Citrus-Florida	2386	70	0
Clay-Florida	4308	81	0
Collier-Florida	12096	188	0
Columbia-Florida	3467	43	0
Dade-Florida	162894	2789	0
De Soto-Florida	1526	23	0
Dixie-Florida	781	5	0
Duval-Florida	28051	302	0
Escambia-Florida	11702	200	0
Flagler-Florida	1484	18	0
Franklin-Florida	572	3	0
Gadsden-Florida	2555	44	0
Gilchrist-Florida	485	11	0
Glades-Florida	468	4	0
Gulf-Florida	851	13	0
Hamilton-Florida	733	7	0
Hardee-Florida	1190	9	0
Hendry-Florida	2005	41	0
Hernando-Florida	2821	103	0
Highlands-Florida	1947	69	0
Hillsborough-Florida	38917	579	0
Holmes-Florida	692	5	0
Indian River-Florida	2942	104	0
Jackson-Florida	2547	72	0
Jefferson-Florida	525	7	0
Lafayette-Florida	1215	10	0
Lake-Florida	6921	136	0
Lee-Florida	19309	444	0
Leon-Florida	8273	44	0
Levy-Florida	956	8	0
Liberty-Florida	468	7	0
Madison-Florida	956	16	0
Manatee-Florida	10772	270	0
Marion-Florida	8967	235	0
Martin-Florida	4526	125	0
Monroe-Florida	1767	20	0
Nassau-Florida	1880	29	0
