date	time	source_timestamp	Australia - Australian Capital Territory	Australia - New South Wales	Australia - Northern Territory	Australia - Queensland	Australia - South Australia	Australia - Tasmania	Australia - Victoria	Australia - Western Australia
2020-03-23	00:00:00	NA	32-0-0	669-6-4	5-0-0	319-0-8	134-0-3	28-0-3	355-0-70	140-1-0
2020-03-24	00:00:00	NA	39-0-0	818-7-4	6-0-0	397-0-8	170-0-3	28-0-3	411-0-97	175-1-0
2020-03-25	00:00:00	NA	39-0-0	1029-7-4	6-0-0	443-0-8	170-0-6	36-0-3	466-0-97	175-1-1
2020-03-26	00:00:00	NA	53-0-1	1219-7-4	12-0-0	493-1-8	235-0-6	47-0-3	520-3-149	231-2-1
2020-03-27	00:00:00	NA	62-0-1	1405-7-4	12-0-0	555-1-8	257-0-6	47-0-3	574-3-171	231-2-1
2020-03-28	00:00:00	NA	71-0-2	1617-8-4	15-0-0	625-1-8	287-0-6	62-0-5	685-3-191	278-2-28
2020-03-29	00:00:00	NA	77-0-2	1791-8-4	15-0-0	656-2-8	299-0-6	66-0-5	769-4-191	311-2-28
2020-03-30	00:00:00	NA	78-1-2	2032-8-4	15-0-0	689-2-8	305-0-6	66-0-5	821-4-191	355-2-41
2020-03-31	00:00:00	NA	80-1-3	2032-8-4	17-0-0	743-2-8	337-0-6	69-1-5	917-4-291	364-2-41
2020-04-01	00:00:00	NA	84-1-8	2182-9-4	19-0-0	781-2-8	367-0-6	69-2-5	968-4-343	392-2-48
2020-04-02	00:00:00	NA	87-1-11	2298-10-4	21-0-0	835-4-8	367-0-6	72-2-5	1036-5-422	400-2-64
2020-04-03	00:00:00	NA	91-1-18	2389-12-4	22-0-0	873-4-8	396-0-46	74-2-5	1085-7-476	400-2-92
2020-04-04	00:00:00	NA	93-2-18	2493-12-4	26-0-1	900-4-8	407-0-46	80-2-5	1115-8-527	436-2-92
2020-04-05	00:00:00	NA	96-2-28	2580-16-4	27-0-1	907-4-8	407-0-46	82-2-5	1135-8-573	453-3-92
2020-04-06	00:00:00	NA	96-2-40	2637-18-4	28-0-2	921-4-173	411-0-53	86-2-26	1158-10-620	460-4-162
2020-04-07	00:00:00	NA	96-2-40	2686-21-4	28-0-2	934-4-173	411-1-53	89-2-26	1191-11-620	460-4-162
2020-04-08	00:00:00	NA	99-2-40	2734-21-4	28-0-2	943-4-173	415-2-53	98-3-26	1212-12-620	481-6-162
2020-04-09	00:00:00	NA	100-2-47	2773-21-4	28-0-2	953-4-345	420-3-120	111-3-48	1228-12-736	495-6-170
2020-04-10	00:00:00	NA	103-2-59	2822-22-4	28-0-2	965-4-372	428-3-179	122-4-48	1241-13-926	506-6-203
2020-04-11	00:00:00	NA	103-2-59	2857-23-4	28-0-2	974-5-372	429-3-179	133-4-48	1265-14-926	514-6-216
2020-04-12	00:00:00	NA	103-2-59	2857-24-4	28-0-2	983-5-372	429-4-179	133-5-48	1268-14-926	514-6-216
2020-04-13	21:59:10	2020-04-13 21:59:10	102-2-59	2863-25-4	28-0-2	987-5-372	429-4-179	144-5-48	1281-14-926	517-6-216
2020-04-14	15:50:15	2020-04-14 15:50:15	102-2-59	2863-25-4	28-0-2	987-5-372	429-4-179	144-5-48	1281-14-926	517-6-216
2020-04-14	15:51:43	2020-04-14 15:51:43	102-2-59	2863-25-4	28-0-2	987-5-372	429-4-179	144-5-48	1281-14-926	517-6-216
2020-04-14	15:53:43	2020-04-14 15:53:43	102-2-59	2863-25-4	28-0-2	987-5-372	429-4-179	144-5-48	1281-14-926	517-6-216
2020-04-14	22:37:50	2020-04-14 22:37:50	103-2-72	2870-25-4	28-0-6	998-5-442	433-4-240	165-6-53	1291-14-1118	527-6-251
2020-04-14	23:30:35	2020-04-14 23:30:35	103-2-72	2870-25-4	28-0-6	998-5-442	433-4-240	165-6-53	1291-14-1118	527-6-251
2020-04-15	08:30:37	2020-04-15 08:30:37	103-2-72	2870-25-4	28-0-6	998-5-442	433-4-240	165-6-53	1291-14-1118	527-6-251
2020-04-15	15:30:36	2020-04-15 15:30:36	103-2-72	2870-25-4	28-0-6	998-5-442	433-4-240	165-6-53	1291-14-1118	527-6-251
