date	time	source_timestamp	China - Anhui	China - Beijing	China - Chongqing	China - Fujian	China - Gansu	China - Guangdong	China - Guangxi	China - Guizhou	China - Hainan	China - Hebei	China - Heilongjiang	China - Henan	China - Hong Kong	China - Hubei	China - Hunan	China - Inner Mongolia	China - Jiangsu	China - Jiangxi	China - Jilin	China - Liaoning	China - Macau	China - Ningxia	China - Qinghai	China - Shaanxi	China - Shandong	China - Shanghai	China - Shanxi	China - Sichuan	China - Tianjin	China - Tibet	China - Xinjiang	China - Yunnan	China - Zhejiang
2020-03-08	00:00:00	NA	990-6-984	428-8-308	576-6-527	296-1-295	124-2-87	1352-7-1256	252-2-223	146-2-117	168-6-159	318-6-307	481-13-412	1272-22-1247	114-3-58	67707-2986-45235	1018-4-968	75-1-70	631-0-612	935-1-919	93-1-90	125-1-109	10-0-10	75-0-71	18-0-18	245-1-227	758-6-642	342-3-314	133-0-126	539-3-464	136-3-128	1-0-1	76-3-73	174-2-170	1215-1-1161
2020-03-09	00:00:00	NA	990-6-984	428-8-315	576-6-542	296-1-295	124-2-88	1352-8-1260	252-2-230	146-2-123	168-6-159	318-6-307	481-13-430	1272-22-1247	115-3-59	67743-3008-46488	1018-4-979	75-1-70	631-0-621	935-1-923	93-1-91	125-1-109	10-0-10	75-0-71	18-0-18	245-1-227	758-6-700	342-3-315	133-0-127	539-3-466	136-3-130	1-0-1	76-3-73	174-2-170	1215-1-1176
2020-03-10	00:00:00	NA	990-6-984	429-8-320	576-6-547	296-1-295	125-2-88	1353-8-1274	252-2-234	146-2-129	168-6-159	318-6-307	481-13-434	1272-22-1247	120-3-65	67760-3024-47743	1018-4-990	75-1-70	631-0-627	935-1-927	93-1-91	125-1-111	10-0-10	75-0-71	18-0-18	245-1-227	758-6-719	344-3-319	133-0-131	539-3-478	136-3-131	1-0-1	76-3-73	174-2-170	1215-1-1191
2020-03-11	00:00:00	NA	990-6-984	435-8-326	576-6-554	296-1-295	127-2-88	1356-8-1282	252-2-238	146-2-133	168-6-159	318-6-307	482-13-436	1273-22-1249	126-3-65	67773-3046-49134	1018-4-995	75-1-71	631-0-627	935-1-932	93-1-91	125-1-111	10-0-10	75-0-72	18-0-18	245-1-232	760-6-726	344-3-320	133-0-131	539-3-488	136-3-131	1-0-1	76-3-73	174-2-170	1215-1-1195
2020-03-12	00:00:00	NA	990-6-984	435-8-334	576-6-564	296-1-295	127-2-88	1356-8-1289	252-2-241	146-2-137	168-6-160	318-6-308	482-13-441	1273-22-1249	129-3-67	67781-3056-50318	1018-4-999	75-1-71	631-0-629	935-1-934	93-1-91	125-1-112	10-0-10	75-0-72	18-0-18	245-2-232	760-6-734	344-3-321	133-0-132	539-3-498	136-3-132	1-0-1	76-3-73	174-2-170	1215-1-1197
2020-03-13	00:00:00	NA	990-6-984	436-8-342	576-6-566	296-1-295	127-2-88	1356-8-1296	252-2-243	146-2-140	168-6-160	318-6-310	482-13-446	1273-22-1249	134-4-77	67786-3062-51553	1018-4-1005	75-1-71	631-0-630	935-1-934	93-1-91	125-1-112	10-0-10	75-0-72	18-0-18	245-2-232	760-7-739	346-3-324	133-0-133	539-3-503	136-3-132	1-0-1	76-3-73	174-2-170	1215-1-1197
2020-03-14	00:00:00	NA	990-6-984	437-8-349	576-6-569	296-1-295	129-2-89	1356-8-1299	252-2-243	146-2-143	168-6-160	318-6-310	482-13-447	1273-22-1250	140-4-78	67790-3075-52960	1018-4-1014	75-1-71	631-0-630	935-1-934	93-1-91	125-1-113	10-0-10	75-0-73	18-0-18	245-2-232	760-7-741	353-3-324	133-0-133	539-3-511	136-3-132	1-0-1	76-3-73	174-2-172	1227-1-1211
2020-03-15	00:00:00	NA	990-6-984	442-8-353	576-6-570	296-1-295	133-2-91	1360-8-1304	252-2-243	146-2-143	168-6-160	318-6-310	482-13-453	1273-22-1250	145-4-81	67794-3085-54288	1018-4-1014	75-1-71	631-0-631	935-1-934	93-1-91	125-1-114	10-0-10	75-0-73	18-0-18	245-2-232	760-7-741	353-3-324	133-0-133	539-3-516	136-3-133	1-0-1	76-3-73	174-2-172	1231-1-1211
2020-03-16	00:00:00	NA	990-6-984	452-8-360	576-6-570	296-1-295	133-2-91	1361-8-1306	252-2-248	146-2-144	168-6-161	318-6-310	482-13-455	1273-22-1250	155-4-84	67798-3099-55142	1018-4-1014	75-1-73	631-0-631	935-1-934	93-1-92	125-1-115	11-0-10	75-0-75	18-0-18	245-2-233	760-7-746	355-3-325	133-0-133	539-3-516	136-3-133	1-0-1	76-3-73	176-2-172	1231-1-1216
2020-03-17	00:00:00	NA	990-6-984	456-8-369	576-6-570	296-1-295	133-2-91	1364-8-1307	253-2-248	147-2-144	168-6-161	318-6-310	482-13-456	1273-22-1250	162-4-88	67799-3111-56003	1018-4-1014	75-1-73	631-0-631	935-1-934	93-1-92	125-1-120	12-0-10	75-0-75	18-0-18	246-3-236	761-7-746	358-3-325	133-0-133	540-3-520	136-3-133	1-0-1	76-3-73	176-2-172	1232-1-1216
