date	time	source_timestamp	Alabama	Alaska	Arizona	Arkansas	American Samoa	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Guam	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Northern Mariana Islands	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	US Virgin Islands	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
2020-04-05	23:30:32	2020-04-05 21:07:00	1841-45-NA	185-4-NA	2269-64-NA	853-16-NA	0-0-NA	15055-348-NA	4950-140-NA	5675-189-NA	673-14-NA	998-22-NA	12342-220-NA	6742-219-NA	267-4-NA	369-4-NA	1101-10-NA	11256-279-NA	4411-127-NA	868-22-NA	763-22-NA	1048-44-NA	13010-477-NA	470-10-NA	3609-68-NA	12500-231-NA	15635-616-NA	935-29-NA	1638-43-NA	2367-52-NA	298-6-NA	377-8-NA	1880-46-NA	669-9-NA	37505-917-NA	624-12-NA	122909-4160-NA	2585-37-NA	207-3-NA	8-1-NA	4043-119-NA	1252-46-NA	1068-27-NA	11535-156-NA	475-20-NA	922-25-NA	2049-44-NA	240-2-NA	3538-50-NA	7094-136-NA	0-0-NA	1605-8-NA	512-22-NA	2637-52-NA	7924-330-NA	324-3-NA	2267-73-NA	200-0-NA
2020-04-06	08:30:33	2020-04-06 08:29:00	1841-45-NA	185-4-NA	2269-64-NA	853-16-NA	0-0-NA	15076-349-NA	4950-140-NA	5675-189-NA	673-14-NA	998-22-NA	12342-220-NA	6742-219-NA	267-4-NA	369-4-NA	1101-10-NA	11276-282-NA	4411-127-NA	868-22-NA	763-23-NA	1048-44-NA	13010-477-NA	470-10-NA	3609-68-NA	12500-231-NA	15635-616-NA	935-29-NA	1638-43-NA	2367-52-NA	298-6-NA	377-8-NA	1880-46-NA	669-9-NA	37505-917-NA	624-12-NA	122911-4161-NA	2585-37-NA	207-3-NA	8-1-NA	4043-119-NA	1252-46-NA	1068-27-NA	11589-159-NA	475-20-NA	922-25-NA	2049-44-NA	240-2-NA	3538-50-NA	7094-137-NA	0-0-NA	1605-8-NA	512-22-NA	2637-52-NA	7984-344-NA	324-3-NA	2267-73-NA	200-0-NA
2020-04-06	15:30:46	2020-04-06 14:31:00	1927-47-NA	183-4-NA	2456-65-NA	854-16-NA	0-0-NA	15221-351-NA	4950-140-NA	5675-189-NA	673-14-NA	1097-24-NA	13316-235-NA	7314-229-NA	266-4-NA	369-4-NA	1101-10-NA	11256-282-NA	4944-139-NA	946-25-NA	853-25-NA	1057-52-NA	14867-512-NA	499-10-NA	4045-91-NA	12500-231-NA	15718-618-NA	986-30-NA	1738-51-NA	2367-52-NA	299-6-NA	426-8-NA	1953-46-NA	669-9-NA	41090-1003-NA	624-12-NA	131239-4758-NA	2870-38-NA	225-3-NA	8-1-NA	4450-142-NA	1327-51-NA	1068-27-NA	12995-166-NA	513-21-NA	922-25-NA	2049-44-NA	288-4-NA	3648-50-NA	7320-144-NA	0-0-NA	1605-8-NA	543-23-NA	2878-54-NA	7984-344-NA	345-4-NA	2267-80-NA	210-0-NA
2020-04-06	23:30:33	2020-04-06 20:41:00	2006-53-NA	189-4-NA	2456-65-NA	927-16-NA	0-0-NA	15999-379-NA	5172-150-NA	6906-206-NA	783-15-NA	1097-24-NA	13621-253-NA	7558-294-NA	266-4-NA	385-5-NA	1170-13-NA	12262-309-NA	4956-141-NA	946-25-NA	853-25-NA	1057-52-NA	14867-512-NA	499-10-NA	4045-92-NA	13837-260-NA	17130-727-NA	986-30-NA	1738-51-NA	2722-55-NA	319-6-NA	438-9-NA	1971-46-NA	715-9-NA	41090-1005-NA	686-12-NA	130689-4758-NA	2870-40-NA	225-3-NA	8-1-NA	4450-142-NA	1327-51-NA	1132-29-NA	12995-166-NA	513-21-NA	1082-27-NA	2232-48-NA	288-4-NA	3753-65-NA	8109-160-NA	0-0-NA	1675-13-NA	543-23-NA	2878-54-NA	8064-375-NA	345-4-NA	2440-83-NA	212-0-NA
2020-04-07	08:30:32	2020-04-07 08:27:00	2006-53-NA	189-4-NA	2465-67-NA	927-16-NA	0-0-NA	16284-386-NA	5172-150-NA	6906-206-NA	783-15-NA	1097-24-NA	13621-253-NA	7558-294-NA	266-4-NA	385-5-NA	1170-13-NA	12262-309-NA	4956-141-NA	946-25-NA	853-25-NA	1057-52-NA	14867-512-NA	499-10-NA	4045-92-NA	13837-260-NA	17130-727-NA	986-30-NA	1738-51-NA	2722-56-NA	319-6-NA	438-10-NA	1971-58-NA	715-9-NA	41090-1005-NA	686-12-NA	130703-4758-NA	2870-40-NA	225-3-NA	8-1-NA	4450-142-NA	1327-51-NA	1132-29-NA	13074-169-NA	513-21-NA	1082-27-NA	2232-48-NA	288-4-NA	3753-65-NA	8115-160-NA	0-0-NA	1675-13-NA	543-23-NA	2878-54-NA	8384-383-NA	345-4-NA	2440-83-NA	212-0-NA
2020-04-07	15:30:34	2020-04-08 00:32:00	2054-54-NA	189-4-NA	2575-73-NA	932-16-NA	0-0-NA	16329-393-NA	5172-150-NA	6906-206-NA	783-15-NA	1211-22-NA	14496-282-NA	8818-329-NA	274-4-NA	385-5-NA	1170-13-NA	12262-310-NA	5507-173-NA	1048-26-NA	853-25-NA	1057-52-NA	14867-512-NA	519-12-NA	4371-104-NA	13837-260-NA	17130-729-NA	1069-34-NA	1915-59-NA	2722-56-NA	319-6-NA	437-10-NA	2087-58-NA	715-9-NA	41090-1005-NA	686-12-NA	138836-5489-NA	3220-49-NA	237-4-NA	8-2-NA	4450-142-NA	1327-51-NA	1132-29-NA	14582-240-NA	573-23-NA	1082-27-NA	2232-48-NA	288-4-NA	3804-70-NA	8115-165-NA	0-0-NA	1675-13-NA	575-23-NA	3333-63-NA	8384-383-NA	412-4-NA	2440-83-NA	216-0-NA
2020-04-07	23:30:34	2020-04-07 22:49:00	2197-64-NA	211-4-NA	2575-73-NA	997-18-NA	0-0-NA	17533-447-NA	5429-179-NA	7781-277-NA	928-16-NA	1211-22-NA	14739-295-NA	9156-348-NA	274-4-NA	408-5-NA	1210-15-NA	13549-384-NA	5507-173-NA	1048-26-NA	905-30-NA	1248-62-NA	16284-582-NA	519-12-NA	4371-104-NA	15202-356-NA	18852-845-NA	1069-34-NA	1915-59-NA	3037-77-NA	319-6-NA	490-11-NA	2101-59-NA	747-13-NA	44416-1232-NA	794-13-NA	140081-5563-NA	3220-50-NA	237-4-NA	8-2-NA	4782-167-NA	1472-67-NA	1181-33-NA	14582-240-NA	573-23-NA	1229-30-NA	2417-51-NA	320-6-NA	4010-72-NA	8959-177-NA	0-0-NA	1752-13-NA	575-23-NA	3333-69-NA	8384-409-NA	412-4-NA	2578-94-NA	221-0-NA
2020-04-08	08:30:34	2020-04-08 08:17:00	2197-64-NA	211-4-NA	2575-77-NA	997-18-NA	0-0-NA	17540-447-NA	5429-179-NA	7781-277-NA	928-16-NA	1211-22-NA	14739-295-NA	9156-348-NA	274-4-NA	408-5-NA	1210-15-NA	13549-384-NA	5507-173-NA	1048-26-NA	905-30-NA	1289-66-NA	16284-582-NA	519-12-NA	4371-104-NA	15202-356-NA	18852-845-NA	1069-34-NA	1915-59-NA	3037-79-NA	319-6-NA	490-12-NA	2101-60-NA	747-13-NA	44416-1232-NA	794-13-NA	140081-5563-NA	3220-50-NA	237-4-NA	8-2-NA	4782-167-NA	1472-67-NA	1181-33-NA	14582-240-NA	573-23-NA	1229-30-NA	2417-51-NA	320-6-NA	4010-72-NA	8974-178-NA	0-0-NA	1752-13-NA	575-23-NA	3333-69-NA	8682-409-NA	412-4-NA	2578-94-NA	221-0-NA
2020-04-08	15:30:44	2020-04-08 14:36:00	2328-66-NA	211-4-NA	2727-80-NA	1000-18-NA	0-0-NA	17605-448-NA	5429-179-NA	7781-277-NA	928-16-NA	1440-27-NA	15447-308-NA	9901-362-NA	275-4-NA	408-5-NA	1210-15-NA	13549-385-NA	5943-203-NA	1145-27-NA	952-33-NA	1289-66-NA	17030-652-NA	537-14-NA	5530-124-NA	15202-356-NA	18852-845-NA	1154-39-NA	2003-67-NA	3037-82-NA	319-6-NA	533-13-NA	2245-71-NA	747-13-NA	47437-1504-NA	794-13-NA	149401-6268-NA	3423-58-NA	251-4-NA	11-2-NA	5148-193-NA	1524-79-NA	1181-33-NA	16239-311-NA	620-24-NA	1229-30-NA	2417-51-NA	393-6-NA	4010-72-NA	9360-185-NA	0-0-NA	1752-13-NA	605-23-NA	3645-75-NA	8682-409-NA	462-4-NA	2578-94-NA	221-0-NA
2020-04-08	21:52:40	2020-04-08 22:50:00	2499-67-NA	224-5-NA	2726-80-NA	1077-18-NA	0-0-NA	19054-504-NA	5655-192-NA	8781-335-NA	1116-19-NA	1440-27-NA	15690-322-NA	10204-370-NA	409-4-NA	433-5-NA	1232-19-NA	15078-464-NA	5943-203-NA	1145-27-NA	1055-38-NA	1393-73-NA	17030-652-NA	537-14-NA	5529-124-NA	16790-433-NA	20220-959-NA	1154-39-NA	2003-67-NA	3327-84-NA	332-6-NA	538-14-NA	2262-73-NA	788-18-NA	47437-1504-NA	865-16-NA	149401-6268-NA	3423-61-NA	251-4-NA	11-2-NA	5148-193-NA	1524-79-NA	1239-38-NA	16239-310-NA	620-24-NA	1450-35-NA	2552-63-NA	393-6-NA	4246-83-NA	9900-195-NA	0-0-NA	1875-13-NA	605-23-NA	3645-75-NA	9097-454-NA	483-4-NA	2756-107-NA	230-0-NA
2020-04-08	23:30:38	2020-04-08 22:50:00	2499-67-NA	224-5-NA	2726-80-NA	1077-18-NA	0-0-NA	19054-504-NA	5655-192-NA	8781-335-NA	1116-19-NA	1440-27-NA	15690-322-NA	10204-370-NA	409-4-NA	433-5-NA	1232-19-NA	15078-464-NA	5943-203-NA	1145-27-NA	1055-38-NA	1393-73-NA	17030-652-NA	537-14-NA	5529-124-NA	16790-433-NA	20220-959-NA	1154-39-NA	2003-67-NA	3327-84-NA	332-6-NA	538-14-NA	2262-73-NA	788-18-NA	47437-1504-NA	865-16-NA	149401-6268-NA	3423-61-NA	251-4-NA	11-2-NA	5148-193-NA	1524-79-NA	1239-38-NA	16239-310-NA	620-24-NA	1450-35-NA	2552-63-NA	393-6-NA	4246-83-NA	9900-195-NA	0-0-NA	1875-13-NA	605-23-NA	3645-75-NA	9097-454-NA	483-4-NA	2756-107-NA	230-0-NA
2020-04-09	08:30:36	2020-04-09 08:03:00	2499-67-NA	224-5-NA	2726-80-NA	1077-18-NA	0-0-NA	19044-506-NA	5655-192-NA	8781-335-NA	1116-19-NA	1440-27-NA	15690-322-NA	10204-370-NA	409-4-NA	433-5-NA	1232-19-NA	15078-464-NA	5943-203-NA	1145-27-NA	1055-38-NA	1393-73-NA	17030-652-NA	537-14-NA	5529-124-NA	16790-433-NA	20220-959-NA	1154-39-NA	2003-67-NA	3327-86-NA	332-6-NA	538-14-NA	2318-80-NA	788-18-NA	47437-1504-NA	865-16-NA	149401-6268-NA	3423-61-NA	251-4-NA	11-2-NA	5148-193-NA	1524-79-NA	1239-38-NA	16414-313-NA	620-24-NA	1450-35-NA	2552-63-NA	393-6-NA	4246-83-NA	9900-195-NA	0-0-NA	1875-13-NA	605-23-NA	3645-75-NA	9097-454-NA	483-4-NA	2756-107-NA	230-0-NA
2020-04-09	16:14:09	2020-04-09 15:38:00	2703-70-NA	233-5-NA	3018-89-NA	1077-18-NA	0-0-NA	19043-506-NA	5655-192-NA	8781-335-NA	1116-19-NA	1523-32-NA	16356-353-NA	10566-379-NA	412-4-NA	433-5-NA	1232-19-NA	15078-465-NA	6351-245-NA	1270-27-NA	1160-48-NA	1393-73-NA	18283-702-NA	560-16-NA	6185-139-NA	16790-433-NA	21373-1075-NA	1242-50-NA	2260-76-NA	3358-87-NA	332-6-NA	581-14-NA	2318-80-NA	788-18-NA	51027-1700-NA	865-16-NA	159937-7067-NA	3651-71-NA	269-5-NA	11-2-NA	5512-213-NA	1684-80-NA	1239-38-NA	16414-313-NA	683-33-NA	1450-43-NA	2552-63-NA	447-6-NA	4283-85-NA	9900-196-NA	0-0-NA	1875-13-NA	628-23-NA	4042-109-NA	9097-454-NA	486-5-NA	2885-115-NA	230-0-NA
