2020-04-08 22:51:58
COUNTY	CASES	DEATHS	RECOVERED
Calaveras-California	5	0	0
Colusa-California	3	0	0
Contra Costa-California	462	7	0
Del Norte-California	2	0	0
El Dorado-California	28	0	0
Fresno-California	146	3	0
Glenn-California	2	0	0
Humboldt-California	50	0	0
Imperial-California	73	3	0
Inyo-California	11	0	0
Kern-California	271	2	0
Kings-California	5	0	0
Lake-California	2	0	0
Lassen-California	0	0	0
Los Angeles-California	7559	198	0
Madera-California	28	2	0
Marin-California	148	10	0
Mariposa-California	0	0	0
Mendocino-California	4	0	0
Merced-California	34	3	0
Modoc-California	0	0	0
Mono-California	19	1	0
Monterey-California	64	2	0
Napa-California	25	2	0
Nevada-California	34	1	0
Orange-California	1016	17	0
Placer-California	117	4	0
Plumas-California	3	0	0
Riverside-California	1179	32	0
Sacramento-California	580	22	0
San Benito-California	33	2	0
San Bernardino-California	547	17	0
San Diego-California	1454	31	0
San Francisco-California	676	10	0
San Joaquin-California	223	13	0
San Luis Obispo-California	99	1	0
San Mateo-California	617	21	0
Santa Barbara-California	218	2	0
Santa Clara-California	1380	46	0
Santa Cruz-California	76	1	0
Shasta-California	23	3	0
Sierra-California	0	0	0
Siskiyou-California	4	0	0
Solano-California	99	2	0
Sonoma-California	120	1	0
Stanislaus-California	90	0	0
Sutter-California	19	2	0
Tehama-California	1	0	0
Trinity-California	0	0	0
Tulare-California	157	7	0
Tuolumne-California	1	0	0
Ventura-California	263	7	0
Yolo-California	56	2	0
Yuba-California	13	0	0
Adams-Colorado	417	14	0
Alamosa-Colorado	5	0	0
Arapahoe-Colorado	764	19	0
Archuleta-Colorado	6	0	0
Baca-Colorado	9	0	0
Bent-Colorado	0	0	0
Boulder-Colorado	207	3	0
Chaffee-Colorado	23	2	0
Cheyenne-Colorado	0	0	0
Clear Creek-Colorado	7	0	0
Conejos-Colorado	0	0	0
Costilla-Colorado	3	0	0
Crowley-Colorado	1	1	0
Custer-Colorado	2	0	0
Delta-Colorado	5	1	0
Denver-Colorado	927	33	0
Dolores-Colorado	0	0	0
Douglas-Colorado	244	8	0
Eagle-Colorado	374	5	0
Elbert-Colorado	10	1	0
El Paso-Colorado	472	30	0
Fremont-Colorado	4	0	0
Garfield-Colorado	49	1	0
Gilpin-Colorado	0	0	0
Grand-Colorado	4	0	0
Gunnison-Colorado	98	1	0
Hinsdale-Colorado	1	0	0
Huerfano-Colorado	1	0	0
Jackson-Colorado	0	0	0
Jefferson-Colorado	610	23	0
Kiowa-Colorado	0	0	0
Kit Carson-Colorado	5	0	0
Lake-Colorado	3	0	0
La Plata-Colorado	34	0	0
Larimer-Colorado	167	8	0
Las Animas-Colorado	1	0	0
Lincoln-Colorado	1	0	0
Logan-Colorado	13	0	0
Mesa-Colorado	32	0	0
Mineral-Colorado	2	0	0
Moffat-Colorado	3	0	0
Montezuma-Colorado	8	1	0
Montrose-Colorado	35	3	0
Morgan-Colorado	23	0	0
Otero-Colorado	4	0	0
Ouray-Colorado	3	0	0
Park-Colorado	5	0	0
Phillips-Colorado	4	0	0
Pitkin-Colorado	39	2	0
Prowers-Colorado	0	0	0
Pueblo-Colorado	45	2	0
Rio Blanco-Colorado	1	0	0
Rio Grande-Colorado	5	0	0
Routt-Colorado	32	0	0
Saguache-Colorado	3	0	0
San Juan-Colorado	0	0	0
San Miguel-Colorado	10	0	0
Sedgwick-Colorado	0	0	0
Summit-Colorado	56	0	0
Teller-Colorado	12	1	0
Washington-Colorado	1	0	0
Weld-Colorado	573	30	0
Yuma-Colorado	2	0	0
Fairfield-Connecticut	4136	132	0
Hartford-Connecticut	1045	48	0
Litchfield-Connecticut	255	9	0
Middlesex-Connecticut	150	7	0
New Haven-Connecticut	1664	60	0
New London-Connecticut	85	4	0
Tolland-Connecticut	111	13	0
Windham-Connecticut	43	1	0
Kent-Delaware	201	4	0
New Castle-Delaware	636	9	0
Sussex-Delaware	279	3	0
Washington-District of Columbia	0	0	0
Alachua-Florida	144	0	0
Baker-Florida	15	1	0
Bay-Florida	28	1	0
Bradford-Florida	15	0	0
Brevard-Florida	102	2	0
Broward-Florida	2358	58	0
Calhoun-Florida	4	0	0
Charlotte-Florida	76	1	0
Citrus-Florida	54	2	0
Clay-Florida	97	7	0
Collier-Florida	277	3	0
Columbia-Florida	17	0	0
Dade-Florida	0	0	0
De Soto-Florida	0	0	0
Dixie-Florida	2	0	0
Duval-Florida	549	10	0
Escambia-Florida	180	2	0
Flagler-Florida	35	1	0
Franklin-Florida	2	0	0
Gadsden-Florida	8	0	0
Gilchrist-Florida	1	0	0
Glades-Florida	4	1	0
Gulf-Florida	1	0	0
Hamilton-Florida	1	0	0
Hardee-Florida	2	0	0
Hendry-Florida	10	0	0
Hernando-Florida	56	1	0
Highlands-Florida	41	3	0
Hillsborough-Florida	626	7	0
Holmes-Florida	3	0	0
Indian River-Florida	63	0	0
Jackson-Florida	4	0	0
Jefferson-Florida	8	0	0
Lafayette-Florida	0	0	0
Lake-Florida	136	2	0
Lee-Florida	462	14	0
Leon-Florida	71	0	0
Levy-Florida	5	0	0
Liberty-Florida	0	0	0
Madison-Florida	12	0	0
Manatee-Florida	171	7	0
Marion-Florida	65	2	0
Martin-Florida	101	0	0
Monroe-Florida	51	3	0
Nassau-Florida	29	0	0
Okaloosa-Florida	78	1	0
Okeechobee-Florida	4	0	0
Orange-Florida	803	10	0
Osceola-Florida	272	4	0
Palm Beach-Florida	1206	69	0
Pasco-Florida	125	2	0
Pinellas-Florida	394	9	0
Polk-Florida	206	5	0
Putnam-Florida	21	1	0
St Johns-Florida	0	0	0
St Lucie-Florida	0	0	0
Santa Rosa-Florida	69	2	0
Sarasota-Florida	180	7	0
Seminole-Florida	216	1	0
Sumter-Florida	90	7	0
Suwannee-Florida	46	0	0
Taylor-Florida	1	0	0
Union-Florida	2	0	0
Volusia-Florida	163	3	0
Wakulla-Florida	7	0	0
Walton-Florida	26	0	0
Washington-Florida	2	0	0
Appling-Georgia	6	0	0
Atkinson-Georgia	4	0	0
Bacon-Georgia	13	0	0
Baker-Georgia	9	2	0
Baldwin-Georgia	27	1	0
Banks-Georgia	4	0	0
Barrow-Georgia	42	3	0
Bartow-Georgia	192	12	0
Ben Hill-Georgia	6	0	0
Berrien-Georgia	4	0	0
Bibb-Georgia	50	1	0
Bleckley-Georgia	1	0	0
Brantley-Georgia	5	1	0
Brooks-Georgia	16	1	0
Bryan-Georgia	26	2	0
Bulloch-Georgia	12	0	0
Burke-Georgia	17	0	0
Butts-Georgia	20	0	0
Calhoun-Georgia	30	1	0
Camden-Georgia	17	0	0
Candler-Georgia	4	0	0
Carroll-Georgia	183	4	0
Catoosa-Georgia	7	0	0
Charlton-Georgia	3	0	0
Chatham-Georgia	125	4	0
Chattahoochee-Georgia	2	0	0
Chattooga-Georgia	4	1	0
Cherokee-Georgia	151	6	0
Clarke-Georgia	81	9	0
Clay-Georgia	13	1	0
Clayton-Georgia	293	11	0
Clinch-Georgia	3	0	0
Cobb-Georgia	588	29	0
Coffee-Georgia	44	2	0
Colquitt-Georgia	68	5	0
Columbia-Georgia	48	1	0
Cook-Georgia	4	0	0
Coweta-Georgia	79	2	0
Crawford-Georgia	3	0	0
Crisp-Georgia	48	0	0
Dade-Georgia	2	1	0
Dawson-Georgia	22	1	0
Decatur-Georgia	30	0	0
De Kalb-Georgia	0	0	0
Dodge-Georgia	9	0	0
Dooly-Georgia	27	1	0
Dougherty-Georgia	986	61	0
Douglas-Georgia	122	5	0
Early-Georgia	98	5	0
Echols-Georgia	1	0	0
Effingham-Georgia	18	1	0
Elbert-Georgia	3	0	0
Emanuel-Georgia	5	0	0
Evans-Georgia	0	0	0
Fannin-Georgia	9	0	0
Fayette-Georgia	85	4	0
Floyd-Georgia	93	3	0
Forsyth-Georgia	99	2	0
Franklin-Georgia	3	0	0
Fulton-Georgia	1240	41	0
Gilmer-Georgia	4	0	0
Glascock-Georgia	0	0	0
Glynn-Georgia	30	0	0
Gordon-Georgia	26	3	0
Grady-Georgia	6	0	0
Greene-Georgia	22	1	0
Gwinnett-Georgia	565	15	0
Habersham-Georgia	8	0	0
Hall-Georgia	228	0	0
Hancock-Georgia	1	0	0
Haralson-Georgia	17	0	0
Harris-Georgia	15	0	0
Hart-Georgia	3	0	0
Heard-Georgia	3	1	0
Henry-Georgia	215	3	0
Houston-Georgia	92	7	0
Irwin-Georgia	9	0	0
Jackson-Georgia	23	0	0
Jasper-Georgia	5	0	0
Jeff Davis-Georgia	1	0	0
Jefferson-Georgia	4	0	0
Jenkins-Georgia	7	1	0
Johnson-Georgia	13	0	0
Jones-Georgia	7	0	0
Lamar-Georgia	14	0	0
Lanier-Georgia	5	0	0
Laurens-Georgia	25	0	0
Lee-Georgia	208	15	0
Liberty-Georgia	14	0	0
Lincoln-Georgia	6	0	0
Long-Georgia	1	0	0
Lowndes-Georgia	49	1	0
Lumpkin-Georgia	9	0	0
McDuffie-Georgia	16	1	0
McIntosh-Georgia	3	0	0
Macon-Georgia	11	0	0
Madison-Georgia	9	1	0
Marion-Georgia	5	0	0
Meriwether-Georgia	18	0	0
Miller-Georgia	12	0	0
Mitchell-Georgia	108	11	0
Monroe-Georgia	12	1	0
Montgomery-Georgia	0	0	0
Morgan-Georgia	12	0	0
Murray-Georgia	11	0	0
Muscogee-Georgia	57	1	0
Newton-Georgia	67	3	0
Oconee-Georgia	33	1	0
Oglethorpe-Georgia	2	1	0
Paulding-Georgia	66	1	0
Peach-Georgia	19	2	0
Pickens-Georgia	10	2	0
Pierce-Georgia	36	1	0
Pike-Georgia	10	0	0
Polk-Georgia	22	0	0
Pulaski-Georgia	8	0	0
Putnam-Georgia	5	0	0
Quitman-Georgia	4	0	0
Rabun-Georgia	5	0	0
Randolph-Georgia	82	3	0
Richmond-Georgia	76	3	0
Rockdale-Georgia	86	2	0
Schley-Georgia	10	1	0
Screven-Georgia	4	0	0
Seminole-Georgia	13	0	0
Spalding-Georgia	56	4	0
Stephens-Georgia	15	0	0
Stewart-Georgia	4	0	0
